code,name,avg_roe,avg_margin,avg_net_margin,ocf_ni,years,score
603606,东方电缆,19.5,22.8,12.7,1.02,5,33.7
600298,安琪酵母,15.3,24.9,10.2,1.13,5,33.6
300260,新莱应材,14.6,26.1,8.8,1.01,5,31.5
605338,巴比食品,12.6,27.0,16.3,0.89,5,31.4
002407,多氟多,14.0,20.3,6.8,1.08,5,29.9
001393,维通利,16.9,21.5,10.0,0.72,4,27.1
301257,普蕊斯,14.4,26.8,13.6,0.53,5,25.8
603650,彤程新材,13.4,24.3,14.3,0.58,5,25.6
301531,春光集团,16.5,20.1,9.2,0.66,4,25.3
000988,华工科技,12.1,20.4,9.0,0.73,5,24.7
