code,name,avg_roe,avg_margin,avg_net_margin,ocf_ni,years,score
002518,科士达,15.4,30.9,13.2,1.17,5,36.9
603092,德力佳,29.7,25.3,16.0,0.84,5,36.8
300866,安克创新,21.6,41.3,8.7,0.87,5,36.7
000682,东方电子,12.7,33.0,9.7,1.25,5,36.7
603365,水星家纺,13.0,40.6,8.9,1.11,5,36.7
300718,长盛轴承,13.1,32.6,17.8,1.09,5,36.7
301590,优优绿能,33.1,29.2,15.1,0.68,5,36.7
301377,鼎泰高科,17.0,38.4,17.8,0.87,5,36.7
301479,弘景光电,25.1,27.5,12.1,0.98,5,36.6
603409,汇通控股,26.3,31.1,17.3,0.76,5,36.5
605399,晨光新材,14.9,24.9,13.6,1.27,5,36.5
001332,锡装股份,14.1,32.0,18.3,1.05,5,36.5
301498,乖宝宠物,15.0,36.6,9.0,1.11,5,36.4
301626,苏州天脉,18.9,33.0,14.6,0.97,5,36.4
603282,亚光股份,18.3,34.2,15.5,0.95,5,36.4
301077,星华新材,12.7,29.0,16.0,1.19,5,36.4
301015,百洋医药,24.1,31.2,7.6,1.0,5,36.3
603801,志邦家居,15.6,36.1,8.3,1.11,5,36.2
600176,中国巨石,17.3,33.4,24.0,0.8,5,36.2
300643,万通智控,13.9,32.4,12.0,1.15,5,36.2
301468,博盈特焊,12.1,31.6,18.7,1.08,5,36.2
301360,荣旗科技,19.4,41.3,14.6,0.78,5,36.1
001220,世盟股份,21.7,22.2,14.9,1.08,5,36.0
301548,崇德科技,14.9,37.0,19.8,0.87,5,36.0
002050,三花智控,17.8,27.2,11.8,1.14,5,35.9
301459,丰茂股份,23.0,28.4,14.7,0.92,5,35.9
600729,重百集团,17.8,26.5,6.4,1.25,5,35.8
000963,华东医药,14.6,32.1,7.3,1.2,5,35.7
301678,新恒汇,13.6,33.0,18.1,1.0,5,35.7
600976,健民集团,20.5,47.8,11.0,0.66,5,35.7
603057,紫燕食品,17.8,21.1,8.7,1.31,5,35.7
301600,慧翰股份,24.5,28.4,15.7,0.84,5,35.6
002179,中航光电,15.5,35.5,16.1,0.93,5,35.6
603355,莱克电气,21.6,23.4,10.2,1.13,5,35.6
603408,建霖家居,14.7,24.9,9.4,1.29,5,35.6
301683,慧谷新材,13.2,38.4,14.4,0.96,4,35.6
300852,四会富仕,14.0,25.8,13.6,1.2,5,35.5
601882,海天精工,23.7,27.2,15.3,0.88,5,35.5
301567,贝隆精密,12.3,27.1,11.4,1.27,5,35.5
002698,博实股份,15.6,36.2,21.3,0.8,5,35.5
002979,雷赛智能,15.4,39.0,14.2,0.89,5,35.4
301286,侨源股份,13.7,34.8,18.1,0.94,5,35.4
300855,图南股份,15.3,33.7,21.9,0.84,5,35.4
301606,绿联科技,27.5,37.3,8.1,0.72,5,35.4
300327,中颖电子,15.2,38.8,12.6,0.92,5,35.4
301200,大族数控,13.2,34.4,12.8,1.06,5,35.4
603407,长裕集团,25.4,25.3,13.8,0.9,4,35.3
301529,福赛科技,15.2,27.9,9.7,1.19,5,35.2
301399,英特科技,17.3,26.3,14.4,1.08,5,35.2
603073,彩蝶实业,12.5,26.6,13.3,1.21,5,35.1
301558,三态股份,19.1,31.5,5.3,1.1,5,35.1
001326,联域股份,27.1,21.9,8.1,1.02,5,35.1
603757,大元泵业,14.3,28.5,12.2,1.15,5,35.1
000913,钱江摩托,13.2,26.5,10.1,1.25,5,35.0
301560,众捷汽车,19.3,22.6,9.0,1.19,5,35.0
301608,博实结,19.0,25.2,13.9,1.05,5,35.0
301031,中熔电气,19.1,40.8,16.8,0.67,5,34.9
600141,兴发集团,18.6,24.5,11.7,1.11,5,34.9
001388,信通电子,19.2,34.9,14.6,0.82,5,34.8
003019,宸展光电,13.4,26.2,10.6,1.22,5,34.7
301362,民爆光电,14.7,30.3,13.5,1.04,5,34.7
002705,新宝股份,13.2,20.6,6.7,1.42,5,34.7
603120,肯特催化,13.1,27.2,13.7,1.14,5,34.6
603379,三美股份,12.9,26.6,17.2,1.08,5,34.5
603927,中科软,17.4,28.6,7.7,1.11,5,34.5
603125,常青科技,15.7,29.8,18.8,0.91,5,34.5
301591,肯特股份,14.2,37.6,17.7,0.82,5,34.5
301535,浙江华远,15.2,29.5,20.7,0.89,5,34.4
002460,赣锋锂业,20.5,25.9,20.6,0.81,5,34.4
001356,富岭股份,19.8,20.9,9.0,1.17,5,34.4
301687,新广益,22.5,32.1,17.2,0.71,5,34.4
002014,永新股份,17.4,23.2,11.9,1.12,5,34.3
600499,科达制造,20.1,27.7,22.2,0.75,5,34.3
002318,久立特材,20.1,25.7,15.5,0.93,5,34.3
301187,欧圣电气,15.4,30.4,11.1,1.05,5,34.3
002346,柘中股份,13.1,22.9,40.9,0.67,5,34.3
300827,上能电气,15.4,21.5,6.3,1.32,5,34.2
300274,阳光电源,28.0,27.8,11.8,0.74,5,34.2
001311,多利科技,17.3,21.5,11.4,1.15,5,34.1
300019,硅宝科技,12.1,21.7,9.4,1.32,5,34.0
601058,赛轮轮胎,17.7,23.4,9.8,1.13,5,34.0
603205,健尔康,16.1,23.7,13.1,1.1,5,34.0
301225,恒勃股份,16.2,32.2,14.3,0.9,5,34.0
605123,派克新材,12.3,22.5,12.8,1.23,5,34.0
002353,杰瑞股份,13.4,33.3,18.7,0.87,5,34.0
301303,真兰仪表,17.2,40.1,20.8,0.59,5,33.9
603380,易德龙,14.8,24.7,9.6,1.18,5,33.9
000739,普洛药业,17.4,25.3,9.4,1.1,5,33.8
603194,中力股份,29.9,27.2,12.0,0.67,5,33.8
300127,银河磁体,12.2,32.3,19.8,0.88,5,33.8
603606,东方电缆,19.5,22.8,12.7,1.02,5,33.7
600298,安琪酵母,15.3,24.9,10.2,1.13,5,33.6
301633,港迪技术,22.2,40.8,15.0,0.54,5,33.6
600438,通威股份,12.9,20.3,5.6,1.38,5,33.6
002028,思源电气,17.3,29.7,13.7,0.91,5,33.6
301179,泽宇智能,14.0,36.0,20.7,0.73,5,33.6
301617,博苑新材,24.1,28.4,17.5,0.67,5,33.5
002170,芭田股份,12.5,23.5,9.2,1.24,5,33.4
300450,先导智能,14.8,35.1,11.2,0.91,5,33.4
301622,英思特,24.7,27.6,15.0,0.72,5,33.4
603730,岱美股份,14.1,25.6,11.0,1.11,5,33.3
603966,法兰泰克,12.8,25.1,9.8,1.17,5,33.2
002706,良信股份,12.3,31.6,9.0,1.07,5,33.2
603400,华之杰,21.4,23.7,10.5,0.95,5,33.1
301601,惠通科技,15.3,33.2,16.0,0.82,5,33.1
002557,洽洽食品,15.1,28.6,11.7,0.99,5,33.0
001359,平安电工,16.4,33.3,17.7,0.74,5,32.9
002487,大金重工,12.3,24.8,12.4,1.11,5,32.8
603376,大明电子,29.2,21.0,8.9,0.81,5,32.8
605259,绿田机械,13.6,20.2,10.4,1.2,5,32.7
603067,振华股份,16.5,25.7,11.7,0.99,5,32.7
300751,迈为股份,14.9,34.8,13.8,0.8,5,32.6
603908,牧高笛,14.7,27.7,5.7,1.11,5,32.6
002973,侨银股份,13.9,25.9,7.4,1.14,5,32.6
601567,三星电气,13.4,30.2,12.3,0.96,5,32.5
301157,华塑科技,12.1,40.2,16.8,0.7,5,32.5
605088,冠盛股份,12.6,24.1,7.1,1.2,5,32.4
300893,松原安全,18.7,30.0,13.8,0.78,5,32.3
603611,诺力股份,16.5,21.5,6.1,1.16,5,32.3
603227,雪峰科技,16.3,23.5,12.4,0.99,5,32.1
600731,湖南海利,12.2,26.8,12.6,1.0,5,31.8
301397,溯联股份,15.7,27.1,13.6,0.88,5,31.7
301300,远翔新材,12.6,25.6,14.0,0.98,5,31.7
300260,新莱应材,14.6,26.1,8.8,1.01,5,31.5
603248,锡华科技,23.0,29.7,18.9,0.52,5,31.5
002837,英维克,15.2,29.6,9.4,0.92,5,31.5
605338,巴比食品,12.6,27.0,16.3,0.89,5,31.4
301035,润丰股份,16.1,20.6,7.7,1.1,5,31.4
603018,DR华设集,12.3,35.6,10.4,0.85,5,31.4
003013,地铁设计,18.6,36.3,17.1,0.53,5,31.4
301448,开创电气,13.4,22.2,6.7,1.15,5,31.3
002236,大华股份,13.2,39.7,12.4,0.69,5,31.3
300415,伊之密,22.0,32.5,12.5,0.6,5,31.3
603596,伯特利,18.1,22.0,12.6,0.91,5,31.2
002595,豪迈科技,19.5,31.8,20.5,0.51,5,31.2
002895,川恒股份,16.3,35.1,17.7,0.59,5,31.2
300547,川环科技,14.7,24.4,14.0,0.92,5,31.2
001230,劲旅环境,13.1,26.4,11.1,0.98,5,31.2
002841,视源股份,13.8,24.0,6.9,1.08,5,31.0
001325,元创股份,14.8,20.6,11.6,1.03,5,31.0
300815,玉禾田,15.2,22.8,9.6,1.01,5,30.9
301525,儒竞科技,17.5,24.1,12.3,0.86,5,30.8
601717,中创智领,16.8,22.2,9.4,0.97,5,30.8
603416,信捷电气,12.0,37.7,15.8,0.66,5,30.8
300570,太辰光,13.7,32.7,17.3,0.69,5,30.8
301488,豪恩汽电,22.4,21.7,8.1,0.86,5,30.7
603260,合盛硅业,16.6,27.0,12.3,0.8,5,30.5
301219,腾远钴业,14.0,26.7,12.8,0.86,5,30.3
001336,楚环科技,12.7,35.0,9.9,0.78,5,30.3
002997,瑞鹄模具,14.0,23.6,13.3,0.91,5,30.3
603357,设计总院,13.5,34.1,15.3,0.66,5,30.2
002407,多氟多,14.0,20.3,6.8,1.08,5,29.9
002125,湘潭电化,12.5,23.4,15.1,0.89,5,29.9
002484,江海股份,12.3,25.5,13.6,0.88,5,29.8
603150,万朗磁塑,12.3,23.1,5.8,1.07,5,29.7
301208,中亦科技,12.2,25.9,8.8,0.95,5,29.6
301577,美信科技,12.2,25.4,9.3,0.95,5,29.6
301272,英华特,15.4,25.1,12.6,0.81,5,29.5
601799,星宇股份,13.7,21.0,11.1,0.96,5,29.5
002850,科达利,14.7,24.4,11.6,0.84,5,29.3
002920,德赛西威,20.7,21.4,7.7,0.82,5,29.3
603867,新化股份,12.7,21.7,10.5,0.97,5,29.3
002006,精工科技,13.3,28.6,10.0,0.82,5,29.1
603181,皇马科技,16.1,24.1,18.7,0.65,5,29.1
301607,富特科技,19.9,21.6,5.3,0.87,5,29.0
301665,泰禾股份,17.5,24.7,10.4,0.76,5,28.9
001222,源飞宠物,16.1,22.8,14.1,0.74,5,28.6
603786,科博达,13.0,30.3,14.0,0.67,5,28.6
603280,南方路机,15.6,26.6,10.1,0.73,5,28.2
002947,恒铭达,12.5,30.5,13.5,0.66,5,28.2
001277,速达股份,14.9,24.9,11.2,0.75,5,28.1
301338,凯格精机,12.9,37.9,12.6,0.52,5,28.1
002867,周大生,18.7,23.7,10.2,0.69,5,27.9
603050,科林电气,12.3,21.9,5.5,0.98,5,27.9
301413,安培龙,12.0,31.2,10.4,0.7,5,27.8
301379,天山电子,15.3,20.1,9.0,0.86,5,27.8
600273,嘉化能源,14.0,20.6,13.6,0.79,5,27.7
603239,浙江仙通,15.0,30.4,14.9,0.54,5,27.7
301309,万得凯,14.6,24.5,14.7,0.67,5,27.7
600761,安徽合力,13.8,20.1,7.1,0.92,5,27.6
603298,杭叉集团,19.6,20.5,10.3,0.68,5,27.3
001393,维通利,16.9,21.5,10.0,0.72,4,27.1
301291,明阳电气,20.7,21.9,9.0,0.63,5,26.9
300596,利安隆,12.8,22.9,9.0,0.8,5,26.7
301251,威尔高,12.7,20.9,7.7,0.87,5,26.6
001306,夏厦精密,12.1,26.0,10.8,0.71,5,26.5
301613,新铝时代,22.4,22.0,9.4,0.52,5,26.3
300638,广和通,17.4,20.6,7.4,0.73,5,26.3
600720,中交设计,12.0,28.0,12.9,0.59,5,25.9
301257,普蕊斯,14.4,26.8,13.6,0.53,5,25.8
603650,彤程新材,13.4,24.3,14.3,0.58,5,25.6
002987,京北方,12.6,22.9,7.4,0.76,5,25.6
603135,中重科技,12.0,23.1,10.1,0.72,5,25.6
301531,春光集团,16.5,20.1,9.2,0.66,4,25.3
301295,美硕科技,13.1,20.8,7.9,0.75,5,25.1
600817,宇通重工,13.6,26.3,9.4,0.57,5,24.8
000988,华工科技,12.1,20.4,9.0,0.73,5,24.7
001280,中国铀业,15.0,20.4,10.8,0.61,5,24.6
603112,华翔股份,14.7,21.2,10.4,0.57,5,24.0
